sample	version	status	post_ms	max_rss_bytes	canonical_sha256
1	A	200	1331.360584	50741248	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
2	B	200	1177.409957	48857088	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
3	A	200	1338.962168	50790400	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
4	B	200	1177.598917	48955392	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
5	A	200	1329.786000	50839552	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
6	B	200	1182.211291	49004544	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
7	A	200	1333.113417	50855936	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
8	B	200	1184.672916	49037312	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
9	A	200	1339.791833	50888704	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
10	B	200	1220.538375	49053696	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
11	A	200	1337.072375	50905088	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
12	B	200	1181.647209	49070080	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
13	A	200	1339.984791	50905088	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
14	B	200	1179.051458	49102848	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
