sample	version	status	post_ms	max_rss_bytes	canonical_sha256
1	A	200	1188.852375	49741824	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
2	B	200	1306.017291	42450944	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
3	A	200	1195.897332	49987584	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
4	B	200	1309.917458	42696704	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
5	A	200	1193.432124	50020352	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
6	B	200	1302.612666	42762240	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
