sample	version	status	post_ms	max_rss_bytes	canonical_sha256
1	A	200	1197.991832	49725440	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
2	C	200	1260.415416	47366144	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
3	A	200	1223.244667	49840128	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
4	C	200	1336.060417	47448064	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
5	A	200	1251.814167	51331072	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
6	C	200	1266.539917	47497216	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
