sample	version	status	post_ms	max_rss_bytes	canonical_sha256
1	A	200	1195.595542	49676288	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
2	B	200	1193.071208	49856512	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
3	A	200	1203.894833	49905664	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
4	B	200	1198.529417	50085888	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
5	A	200	1193.832584	49987584	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
6	B	200	1191.363792	50167808	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
