sample	version	status	post_ms	max_rss_bytes	canonical_sha256
1	A	200	2376.587668	76038144	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
2	B	200	1236.493791	49987584	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
3	A	200	2384.150458	73269248	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
4	B	200	1229.722250	50036736	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
5	A	200	2545.839458	79757312	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
6	B	200	1250.525209	50102272	af9d3ceabca4a57c6c0f3713defac7f9038970050260076ac626a0df4ace96f2
