version	event	phase_a_accepted	phase_a_rejected	phase_a_pending	work_items_popped	stale_sources	stale_skips	phase_b_explored	connectivity_views	local_reachable	graph_views	bfs_fallbacks	region_traversals	portal_traversals	accepted_semantic_trace_hash
A	warmup	50000	126119	281991	371918	219918	59822	0	176119	1585071	0	0	0	0
A	formal-1	50000	126119	281991	371918	219918	59822	0	176119	1585071	0	0	0	0
A	formal-2	50000	126119	281991	371918	219918	59822	0	176119	1585071	0	0	0	0
A	formal-3	50000	126119	281991	371918	219918	59822	0	176119	1585071	0	0	0	0
B	warmup	50000	126119	281991	371918	219918	59822	0	176119	0	176119	0	3943594	4847678	7f0aeb674cd6f09f
B	formal-1	50000	126119	281991	371918	219918	59822	0	176119	0	176119	0	3943594	4847678	7f0aeb674cd6f09f
B	formal-2	50000	126119	281991	371918	219918	59822	0	176119	0	176119	0	3943594	4847678	7f0aeb674cd6f09f
B	formal-3	50000	126119	281991	371918	219918	59822	0	176119	0	176119	0	3943594	4847678	7f0aeb674cd6f09f
